Length	Count
187	1
188	1
190	3
191	9
193	7
194	1
195	2
196	3
197	2
198	9
199	7
200	5
201	1
202	3
203	5
204	13
205	14
206	11
207	113
208	28
209	20
210	32
211	31
212	28
213	28
214	32
215	11
216	78
217	31
218	28
219	32
220	26
221	475
222	13
223	32
224	35
225	21
226	30
227	137
228	23
229	42
230	17
231	23
232	22
233	37
234	23
235	41
236	35
237	21
238	66
239	38
240	191
241	219
242	57
243	299
244	855
245	616
246	87
247	705
248	145
249	40
250	142
251	336
252	81
253	188
254	2570
255	3088
256	1613
257	1025
258	1216
259	1611
260	5212
261	1872
262	1522
263	1395
264	308
265	679
266	574
267	502
268	980
269	424
270	485
271	419
272	269
273	224
274	3146
275	528
276	347
277	753
278	665
279	2316
280	70
281	148
282	198
283	868
284	242
285	1366
286	254
287	232
288	644
289	146
290	104
291	49
292	209
293	344
294	52
295	124
296	354
297	957
298	435
299	311
300	1279
301	436
302	112
303	83
304	836
305	216
306	1397
307	54
308	52
309	267
310	1318
311	379
312	89
313	274
314	98
315	109
316	315
317	110
318	746
319	1136
320	1633
321	565
322	337
323	785
324	927
325	365
326	50
327	4367
328	8112
329	858
330	463
331	921
332	1434
333	1309
334	1698
335	988
336	967
337	822
338	164
339	174
340	183
341	1656
342	1938
343	631
344	21
345	1864
346	332
347	12
348	30
349	72
350	96
351	454
352	344
353	739
354	215
355	45
356	605
357	34
358	991
359	307
360	27
361	10
362	28
363	7
364	30
365	11
366	10
367	112
368	19
369	147
370	23
371	5
372	39
373	40
374	193
375	184
376	2646
377	917
378	846
379	4
380	514
381	281
382	2894
383	16
384	35
385	370
386	14
387	3
388	3
389	112
390	118
391	9595
392	671
393	4
395	1
396	19
397	18
398	31
400	2
402	4
404	7
405	2
407	2
408	1
409	133
410	50
411	22
412	230
413	4
415	61
418	3
419	2
420	2
421	3
423	83
425	1
426	1
427	1
428	8
430	4
431	14
433	1
434	2
436	2
437	27
438	6
439	10
442	116
443	8
445	3
446	29
447	2
448	2
449	173
450	360
451	98
501	1
510	1
