Length	Count
85	220
187	248
79	54
353	478
192	320
144	45
339	3587
329	4415
475	12
242	66626
367	4060
76	61
172	211
454	18
311	5294
255	17363
52	53
377	64
197	128
264	7238
191	394
447	9
77	60
103	129470
421	19
125	527
217	345
390	114
438	2
33	18
305	41753
341	2986
24	78
220	5055
408	4
41	22
307	105023
406	51
20	51
149	36
111	2562
106	43240
402	28
203	90
179	34
300	30875
131	223
465	18
124	462
479	3
181	44
151	51
279	3955
429	5
391	88
442	32
219	147
189	503
101	176142
202	62
457	8
78	86
456	3
392	177
238	75905
123	972
216	806
48	68
271	1075
141	82
21	26
153	68
97	10349
319	2620
286	25426
212	595
137	88
425	8
409	35
373	55
42	28
174	87
262	7840
389	72
374	33
401	10
480	30
303	23974
22	71
352	724
150	66
444	49044
168	63
120	2871
122	647
315	9877
60	45
291	7850
418	7
293	626
420	43
250	23827
331	1227
463	13
366	322
19	39
301	22447
100	41643
199	106
481	154
98	19565
468	31
451	6
176	50
237	194375
162	57
180	25
74	96
290	2070
345	2099
370	760
320	3118
385	24
121	1550
221	5284
449	26
93	2199
50	22
326	7947
471	12
31	29
332	746
263	24356
164	85
321	41213
73	142
394	86
414	32
96	11941
348	2373
277	19286
65	17
482	18
35	314
253	21284
452	48
247	10779
295	9980
461	2
427	4
116	5519
287	828
464	1
325	60188
297	9332
157	60
282	3967
148	42
156	65
296	4512
82	65
316	6911
257	81549
143	67
371	89216
146	48
387	42
64	20
356	7280
432	55
167	82
241	121661
354	3516
459	20
274	2073
273	4748
355	272
384	168
378	100
211	240
171	91
30	20
443	272
395	25
270	2756
147	33
314	15168
112	2614
259	37653
252	140841
94	981
439	19
154	47
166	129
229	1458
188	428
419	31
200	94
130	297
56	15
360	41707
49	25
178	36
248	34340
342	786
422	74
227	28509
372	15020
45	10
397	37
330	9359
440	5
128	301
428	7
251	26674
431	18
70	47
54	39
351	204
365	5214
59	30
333	19019
285	11313
132	124
161	56
369	141
349	2070
267	8656
435	3
235	73827
87	319
95	2628
182	65
324	900
63	21
362	11446
260	3040
53	62
231	12708
173	154
254	21268
298	28827
206	63
411	63
170	118
46	26
292	3584
135	151
61	10
346	1180
40	46
407	1
340	28167
278	41123
446	34
136	113
379	151
477	10
196	182
205	116
306	9791
413	25
223	11042
209	186
343	675
138	109
71	40
175	64
163	55
474	8
129	379
134	160
222	3881
102	55702
344	1165
186	123
275	6826
313	39305
246	9060
470	6
312	129585
410	58
89	198
195	147
118	6442
67	49
152	59
458	2
81	57
25	35
115	1259
455	2
83	46
38	16
16	8
90	527
58	29
375	33
177	14
57	18
318	1847
127	354
26	53
403	357
302	25194
283	5375
244	18825
335	8389
201	95
245	24840
84	105
169	64
215	685
108	8581
213	676
109	8724
398	109
39	14
436	22
243	86979
28	54
299	47694
308	197373
230	9399
280	6078
380	4
234	220316
86	260
145	28
17	38
204	89
304	10267
159	49
417	14
294	8951
210	84
72	70
265	34809
228	1968
434	3
29	22
232	1574
289	1201
207	124
165	92
239	68794
155	66
43	12
69	62
80	78
334	2364
110	3947
453	3
193	314
405	12
350	1570
361	6192
51	58
416	36
47	25
99	48500
393	1023
382	22
119	18693
272	2830
388	57
261	3382
483	5
284	70806
281	13899
462	3
266	10288
62	32
249	13987
142	66
198	79
337	870
34	14
114	1558
32	67
23	93
288	1361
140	96
160	65
276	4437
476	3
91	1440
75	81
225	2445
194	419
208	47
400	22
309	33738
359	398
269	3983
36	24
426	13
27	63
113	1736
412	74
381	50
396	50
376	111
66	20
68	44
415	391
126	378
445	21
190	429
107	24519
88	153
328	648
399	21
233	4390
183	51
224	19750
322	3577
256	12972
347	1303
104	39848
363	135
368	135
450	5
184	104
357	18782
441	4
478	7
383	42
105	32778
258	29510
18	42
92	2359
133	155
310	3339
364	611
437	17
448	32
37	16
327	570
338	4363
214	913
317	72173
433	1
185	163
139	123
240	228224
218	1823
430	13
158	46
55	23
423	8
117	6293
268	20323
336	2097
323	3506
236	51024
358	185
484	1
226	7286
44	25
469	12
386	7
404	1163
